category,inclination,eccentricity,period,perigee,apogee
active,53.15924490169326,0.0001164,21567.36550438669,250252.30215002297,250312.05263932046
active,53.160844903044726,0.0001198,21567.455582589424,250252.14406346146,250313.64001319383
active,53.160444902706864,0.0001186,21567.563914217568,250253.31141215755,250314.19157961238
active,53.159644902031125,0.0001015,21567.39429944932,250256.35481184855,250308.45687423466
active,53.16014490245346,0.0001223,21567.37494769293,250250.8627651937,250313.64186290972
active,53.16054490279132,0.0001323,21567.451185075595,250248.9009188718,250316.81338167377
active,34.99752956114859,6e-05,22025.033997294315,253884.79594155977,253916.02935107728
active,53.161044903213664,0.0002004,21567.697674130526,250233.37746110698,250336.24791643262
active,34.99382955802333,0.0001977,22024.189218847754,253842.3014932249,253945.21294602953
active,53.16014490245346,8.08e-05,21567.46732339636,250262.2469774165,250303.72339262246
active,53.159644902031125,0.0001057,21567.263982319688,250254.24306326383,250308.5008544959
active,53.16014490245346,0.0001204,21567.383319825083,250251.41683278402,250313.2206375354
active,53.160444902706864,0.0001215,21567.564182017635,250252.56921743133,250314.93802356115
active,34.99172955624954,7.67e-05,22024.847938808758,253878.98358533042,253918.9100689737
active,45.01123801936628,0.0002102,21512.644060559356,249793.99704840328,249901.71439814934
active,53.05294481190542,0.0001588,21908.039526007797,252936.69614454577,253019.06757262402
active,53.05314481207435,0.0001398,21907.987766650174,252941.21546499437,253013.73125534583
active,53.053844812665616,0.0001236,21907.92594369752,252944.9291606044,253009.04171300438
active,53.05354481241221,0.0001551,21907.920679091465,252936.71793529976,253017.16983889355
active,53.05474481342581,0.0001677,21908.115965675006,252934.99105732454,253021.97922244048
active,53.05424481300348,0.000181,21907.966213654585,252930.359948296,253024.24656807547
active,53.05274481173649,0.0001456,21908.115543917385,252940.71950751432,253016.24411501776
active,53.05374481258115,0.0001654,21908.046085022244,252935.0361526015,253020.8310954443
active,53.05464481334135,0.0001051,21181.104197622088,247181.86323610626,247235.16712159687
active,53.05214481122969,9.09e-05,21908.23891598474,252955.87990082562,253003.03108623432
active,53.054544813256875,0.0001392,21907.928445113434,252940.90296193943,253013.10739538117
active,53.053444812327754,0.0001559,21121.42736184261,246692.51876859766,246771.43845992957
active,53.05374481258115,0.000145,21907.779321002094,252938.22194413602,253013.4345543283
active,53.05584481435494,0.0001715,21907.43759681072,252928.65253672164,253017.60997474237
active,53.05144481063842,0.0001511,21545.031244401864,250066.2012074056,250143.71035664293
active,53.05484481351028,0.000153,21907.86638980702,252936.8341801939,253016.19666191275
active,53.05434481308795,0.0001585,21907.5061356664,252932.5649467603,253014.7794268435
active,53.054544813256875,0.0001351,21709.77529081039,251375.9322406405,251445.58676345798
active,53.055544814101545,0.00015,21907.484510905808,252934.59879195062,253012.4042424058
active,53.05524481384815,0.0001145,21908.529063244052,252952.0487079873,253011.44208968367
active,53.05424481300348,0.000156,21907.739778875417,252935.05702267642,253015.97531972188
active,53.05484481351028,0.0001543,21907.928343311614,252936.9858980375,253017.02285238772
active,53.05444481317242,0.0001443,21907.877980612102,252939.18202914597,253014.03176869702
active,53.05274481173649,0.0001191,21331.674602837636,248378.53330693603,248439.2235413767
active,53.05544481401708,0.0001648,21907.88754994348,252933.94077107968,253019.42407440624
active,53.053844812665616,0.0001343,21907.86247773128,252941.65323858176,253011.3158531308
active,53.053044811989885,0.0001326,21224.40252745621,247520.3132007553,247587.65596306644
active,53.05564481418601,0.0001753,21908.15302223533,252933.312356317,253024.24284254335
active,53.054044812834555,0.0002086,21907.876002757414,252922.4899213986,253030.69265688444
active,53.05314481207435,0.0001326,21129.771456607097,246765.06433365567,246832.206777405
active,53.055544814101545,0.0001428,21908.028807626783,252940.7612584898,253014.83327418912
active,53.05544481401708,0.0001418,21907.99836864535,252940.78041593332,253014.33365190812
active,53.05564481418601,0.0001477,21908.041838387166,252939.5932420354,253016.20697492745
active,53.05574481427048,0.0001666,21907.870752718405,252933.34138636364,253019.7583223751
active,53.056544814946214,0.0002087,21908.368383250865,252926.34916440677,253034.60539282282
active,53.055944814439414,0.0001785,21907.909422732315,252930.5602072008,253023.14989045323
active,53.056544814946214,0.0001785,21907.837798237382,252929.9950276145,253022.58450906182
active,53.05544481401708,0.0001428,21908.04020954127,252940.85123250828,253014.92327390783
active,53.05314481207435,8.8e-05,21187.760135862893,247239.31669791418,247283.95727402373
active,53.056144814608345,0.0001534,21908.030451014234,252938.0250550905,253017.59541767105
active,53.05814481629768,0.0001515,21907.95380833964,252937.91303849846,253016.49766572018
active,53.05514481376368,0.000144,21907.86490641754,252939.15666519367,253013.8507622632
active,53.05574481427048,0.0001485,21908.111195451856,252939.933059636,253016.96192454116
active,53.056744815115145,0.0001665,21907.86438286836,252933.31705755138,253019.6821059121
active,53.055544814101545,0.0001398,21907.93276442017,252940.78143331443,253013.29710229367
active,53.05564481418601,0.0001506,21907.855962455833,252937.3743478455,253015.4919031029
active,53.056744815115145,0.0001557,21907.759309963178,252935.28894981343,253016.05168274994
active,53.056144814608345,0.000165,21907.899998812623,252933.9871338489,253019.57421147084
active,53.05584481435494,0.0001475,21907.548818153708,252935.7546293343,253012.26347200424
active,53.055544814101545,0.0001712,21907.99387479429,252933.11990196866,253021.92323255332
active,53.05664481503068,0.0001931,21907.959349281628,252927.16758411564,253027.33058131137
active,53.05714481545301,0.0001592,21907.85367920174,252935.12588250614,253017.70432827566
active,53.049144808695694,0.0001663,21737.904149576585,251590.47814620298,251676.2927330002
active,53.05624481469281,0.0001887,21907.88261984618,252927.70329181597,253025.58373427784
active,53.05564481418601,0.0001595,21907.671645755538,252933.61164418032,253016.34524430407
active,53.056544814946214,0.0002043,21907.83510778325,252923.2824574502,253029.25461157344
active,53.05664481503068,0.0001788,21907.74300739236,252929.16923835917,253021.91406485383
active,53.054544813256875,0.0001255,21908.501255314088,252948.97631253465,253014.07555354387
active,53.05374481258115,0.0001557,21907.966039136576,252936.92026034003,253017.68350134577
active,53.05464481334135,0.0001331,21908.268323041186,252945.16707266166,253014.2080890957
active,53.055344813932614,0.0001403,21908.366623463116,252944.0753975699,253016.8513823971
active,53.05354481241221,0.0001329,21908.358231751885,252945.92842976807,253014.8658917334
active,53.05424481300348,0.0001407,21907.962519690635,252940.78281736583,253013.7653914988
active,53.05414481291901,0.0001565,21908.244791572302,252938.91241600388,253020.0913140876
active,53.05424481300348,0.0001494,21908.36032604317,252941.66554235428,253019.16183636466
active,53.05294481190542,0.0001097,21908.269835572442,252951.24797848816,253008.15105776247
active,53.05394481275008,0.0001082,21908.21944221584,252951.2393418914,253007.3642620013
active,53.05484481351028,0.0001384,21908.28974573884,252943.96152637913,253015.7517811009
active,53.05284481182095,0.0001277,21908.017245748575,252944.5862933213,253010.82574063804
active,53.05374481258115,0.0001235,21908.43169216666,252948.94609258167,253013.00775988246
active,53.05294481190542,0.0001288,21908.121172201423,252945.1211105093,253011.9313516664
active,53.05154481072289,0.0001528,21751.730315927358,251703.3366175595,251782.218327155
active,53.052344811398626,0.0001374,21908.17224864765,252943.2936968797,253014.56498106205
active,53.05414481291901,0.0001188,21908.1043746181,252947.5821207913,253009.20519992503
active,53.053644812496685,0.0001356,21907.956295218773,252942.05641072142,253012.39354773576
active,53.053044811989885,0.0001326,21908.134159441506,252944.23804064278,253013.01941858185
active,53.05274481173649,0.000121,21908.14131479201,252947.3030424977,253010.06736031643
active,53.053844812665616,0.0001608,21907.889804118502,252934.99597752246,253018.40444911103
active,53.05414481291901,0.0001653,21908.295315937958,252937.02875405303,253022.77247599635
active,53.054044812834555,0.0001942,21908.171186976495,252928.55384595363,253029.28807405446
active,53.052444811483085,0.0001148,21908.16219913443,252949.07585938124,253008.6241921471
active,53.05544481401708,0.000162,21908.089496780096,252936.26052395944,253020.29195746142
active,53.05414481291901,0.0001416,21908.099691660067,252941.6318411669,253015.08156138472
active,53.053444812327754,0.0001512,21908.17796422152,252939.75967313032,253018.18922220328
active,53.05424481300348,0.0001198,21908.18071293367,252947.92517303114,253010.06710930655
active,53.05514481376368,0.0002223,21908.47925044883,252923.6966821265,253039.00785014397
active,53.054044812834555,0.0001812,21908.011588431484,252930.66612211123,253024.656613791
active,53.053844812665616,0.0001394,21908.108563103997,252942.2724310555,253014.58100282415
active,53.05374481258115,0.0001752,21907.989540920258,252932.04828179392,253022.926444566
active,53.05334481224329,0.0001688,21907.9957363246,252933.75704442975,253021.31547347075
active,53.05274481173649,0.0001287,21558.616354322006,250179.73723975618,250245.78370150132
active,53.05334481224329,0.0001572,21908.06900524549,252937.3437351086,253018.88529751252
active,53.05354481241221,0.000136,21907.85603517094,252941.16149637912,253011.70590234533
active,53.053444812327754,0.0001803,21908.17136149778,252932.160284271,253025.68439046585
active,53.05474481342581,0.0001721,21907.97349978398,252932.7257046795,253021.99581985382
active,53.055544814101545,0.0001149,21908.298486444208,252950.12541172732,253009.72586303882
active,53.05324481215881,0.0001302,21908.07653867959,252944.4057982421,253011.94214594446
active,53.05324481215881,0.0001551,21908.116881907128,252938.2661790485,253018.718562982
active,53.05104481030056,0.0001482,21908.140151320065,252940.23935961328,253017.1126783853
active,53.05374481258115,0.000164,21908.50995255656,252939.05959993234,253024.12954695243
active,53.05254481156755,0.0001322,21908.050360745532,252943.68051024762,253012.25422802003
active,53.05584481435494,0.0001018,21908.04970629798,252951.55976711272,253004.36464101748
active,53.05274481173649,0.0001555,21907.99576541102,252937.206702584,253017.86627443193
active,53.05274481173649,0.0001587,21908.28648797356,252938.67085493947,253020.9910304807
active,53.053644812496685,0.0001481,21908.07632052988,252939.76160128994,253016.5828995105
active,53.05354481241221,0.0001069,21467.687058185846,249463.4060041065,249518.11074464698
active,53.05174481089182,0.0001008,21908.181221954514,252952.85697286853,253005.14334410048
active,53.05334481224329,0.0001398,21908.15783610696,252942.55750886493,253015.07367450435
active,53.05194481106076,0.000142,21908.041911103508,252941.0721444807,253014.72922027452
active,53.05034480970929,0.0001435,21428.30049567219,249141.030360621,249214.3748472683
active,53.05504481367922,0.0001391,21554.285419879783,250142.70778972155,250214.08177875052
active,53.05414481291901,0.000141,21908.03309788658,252941.2619539964,253014.40029837398
active,53.05324481215881,0.0001317,21908.068467143254,252943.95306974777,253012.26746919277
active,53.053444812327754,0.0001381,21908.160003077057,252943.01551534768,253014.6498725378
active,53.05494481359475,0.0001621,21908.244617049855,252937.45863684465,253021.54233850277
active,53.05324481215881,9.75e-05,21908.11113727842,252953.15977938354,253003.73428655497
active,53.05584481435494,0.0001344,21908.250885316193,252944.69230358378,253014.40761301262
active,53.065844822801594,0.0001605,21680.887269488907,251140.68668500503,251223.36345305218
active,53.05494481359475,0.0001632,21908.35504668466,252938.0447371824,253022.6993098109
active,53.054044812834555,0.0001252,21908.24340993633,252947.01940298255,253011.9625187192
active,53.055544814101545,0.0001209,21908.17272858122,252947.57687350817,253010.2893799382
active,53.052244811314154,0.0001169,21908.350130920622,252950.01423804447,253010.652216353
active,53.054044812834555,0.0001223,21908.32190167932,252948.39093881482,253011.82993262738
active,53.05544481401708,0.0001129,21151.18094479191,246941.02253955652,246998.22843339134
active,53.055544814101545,0.0001221,21907.78667972182,252944.21921686002,253007.55343590095
active,53.05544481401708,0.0001374,21908.392191316176,252945.0292964621,253016.30105765274
active,53.050744810047156,0.0001815,21816.31654012074,252206.53261687353,252300.41584201885
active,53.056344814777276,0.0001246,21467.377762927725,249456.41981149875,249520.1816936463
active,53.05424481300348,0.0001325,21908.142347373465,252944.32858892565,253013.05811266365
active,53.05424481300348,0.0001507,21908.205873135194,252940.10958228714,253018.27984077318
active,53.054044812834555,0.000112,21908.281514065948,252950.74361482015,253008.8397601581
active,53.055544814101545,0.0001147,21908.21477375211,252949.5166790306,253009.0132356118
